file,line,kind,version,remove_in,message
idaes/core/util/model_diagnostics.py,67,relocated_module_attribute,2.12.0,,IpoptConvergenceAnalysis
idaes/core/util/model_diagnostics.py,72,relocated_module_attribute,2.12.0,,psweep_runner_validator
idaes/core/util/model_diagnostics.py,77,relocated_module_attribute,2.12.0,,CACONFIG
idaes/core/util/model_diagnostics.py,83,relocated_module_attribute,2.12.0,,ipopt_solve_halt_on_error
idaes/core/util/model_diagnostics.py,89,relocated_module_attribute,2.12.0,,get_valid_range_of_component
idaes/core/util/model_diagnostics.py,94,relocated_module_attribute,2.12.0,,list_components_with_values_outside_valid_range
idaes/core/util/model_diagnostics.py,99,relocated_module_attribute,2.12.0,,set_bounds_from_valid_range
idaes/core/util/model_diagnostics.py,105,relocated_module_attribute,2.12.0,,SVDToolbox
idaes/core/util/model_diagnostics.py,110,relocated_module_attribute,2.12.0,,SVDCONFIG
idaes/core/util/model_diagnostics.py,115,relocated_module_attribute,2.12.0,,svd_callback_validator
idaes/core/util/model_diagnostics.py,120,relocated_module_attribute,2.12.0,,svd_dense
idaes/core/util/model_diagnostics.py,125,relocated_module_attribute,2.12.0,,svd_sparse
idaes/core/util/model_diagnostics.py,131,relocated_module_attribute,2.12.0,,check_parallel_jacobian
idaes/core/util/model_statistics.py,885,deprecation_warning,2.2.0,2.11.0,msg
idaes/core/util/model_statistics.py,891,deprecation_warning,2.2.0,2.11.0,msg
idaes/models_extra/column_models/plate_heat_exchanger.py,65,deprecated,2.3.0,,The Plate Heat Exchanger (PHE) model is known to be affected by issues causing it to fail to solve on certain platforms starting with Pyomo v6.7.0. This might cause the model to be removed in an upcom
idaes/models_extra/power_generation/unit_models/drum1D.py,393,deprecation_warning,2.13.0,2.14.0,"Providing the drum diameter as a config argument is deprecated. It has been converted to a Var, so it can be fixed to a value directly."
idaes/models_extra/power_generation/unit_models/drum1D.py,405,deprecation_warning,2.13.0,2.14.0,"Providing the drum thickness as a config argument is deprecated. It has been converted to a Var, so it can be fixed to a value directly."
